Lineup,Position,Name,Team,Opponent,Salary,Avg Points,Game Info
1,P,Joe Boyle,TB,KC,7500,27.45,TB@KC 06/25/2025 07:40PM ET
1,P,Zack Wheeler,PHI,HOU,10300,24.47,PHI@HOU 06/25/2025 08:10PM ET
1,C,Reese McGuire,CHC,STL,2400,6.92,CHC@STL 06/25/2025 07:45PM ET
1,1B,Yandy Diaz,TB,KC,4000,8.25,TB@KC 06/25/2025 07:40PM ET
1,2B,Luke Keaschall,MIN,SEA,3500,11.14,SEA@MIN 06/25/2025 07:40PM ET
1,3B,Noelvi Marte,CIN,NYY,3300,9.37,NYY@CIN 06/25/2025 07:10PM ET
1,SS,Jeremy Pena,HOU,PHI,4900,9.15,PHI@HOU 06/25/2025 08:10PM ET
1,OF,Aaron Judge,NYY,CIN,6700,12.27,NYY@CIN 06/25/2025 07:10PM ET
1,OF,Austin Hays,CIN,NYY,3900,9.71,NYY@CIN 06/25/2025 07:10PM ET
1,OF,Jonny DeLuca,TB,KC,3200,7.67,TB@KC 06/25/2025 07:40PM ET
